Form_ID,Form,Cognateset_ID,Alignment,Doubt,Cognate_detection_method,Cognate_source,Alignment_method,Alignment_source,Segment_slice
129,tɕ a ⁵⁵,1013,tɕ a ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
131,tʰ e n ²¹,1012,tʰ e n ²¹,,expert,Hill2017,LingPy:SCA,,0:1
132,a ³¹ + k a i ⁵⁵,1011,a ³¹ + k a i ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
132,a ³¹ + k a i ⁵⁵,986,a ³¹ + k a i ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
135,p j ɔː ʔ ³¹,1023,p j ɔː ʔ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
136,k ɔ i ³⁵,986,k ɔ i ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
137,n ³¹ + c ɛ ⁵⁵,55,n ³¹ + c ɛ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
137,n ³¹ + c ɛ ⁵⁵,1014,n ³¹ + c ɛ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
5367,sʰ o ⁵⁵,56,sʰ o - ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
5368,nʲ ɑ̃ ∼ ⁵³,987,nʲ ɑ̃ ∼ ⁵³,,expert,Hill2017,LingPy:SCA,,0:1
7099,tsʰ ə w ⁵⁵,56,tsʰ ə w ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6326,o̰ ⁵¹ + m a i ²¹,66,o̰ ⁵¹ + m a i ²¹,,expert,Hill2017,LingPy:SCA,,0:1
6326,o̰ ⁵¹ + m a i ²¹,65,o̰ ⁵¹ + m a i ²¹,,expert,Hill2017,LingPy:SCA,,1:2
6451,a ³¹ + a ⁵⁵,1293,a ³¹ + a ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6451,a ³¹ + a ⁵⁵,1294,a ³¹ + a ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
6524,a ³¹ + tʰ e ⁵¹,1293,a ³¹ + tʰ e ⁵¹,,expert,Hill2017,LingPy:SCA,,0:1
6524,a ³¹ + tʰ e ⁵¹,1295,a ³¹ + tʰ e ⁵¹,,expert,Hill2017,LingPy:SCA,,1:2
6584,ɔ ³¹ + m ɛ ³¹,66,ɔ ³¹ + m ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,0:1
6584,ɔ ³¹ + m ɛ ³¹,65,ɔ ³¹ + m ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,1:2
6618,ɑ u ʔ ⁴,66,ɑ u ʔ ⁴,,expert,Hill2017,LingPy:SCA,,0:1
7101,ʊ k,66,- ʊ k -,,expert,Hill2017,LingPy:SCA,,0:1
310,k ʐ ə ³¹,86,k ʐ ə ³¹,,expert,Hill2017,LingPy:SCA,,0:1
312,k o̰ ²¹,86,k - o̰ ²¹,,expert,Hill2017,LingPy:SCA,,0:1
313,k ɔ̰ ³⁵,86,k - ɔ̰ ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
316,k j iː ³³,86,k j iː ³³,,expert,Hill2017,LingPy:SCA,,0:1
317,ɣ ə ³⁵,86,ɣ - ə ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
319,k ɯ ³¹,86,k - ɯ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
5671,tɕ i ⁵⁵,86,tɕ - i ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
7103,k r i ⁵⁵,86,k r i ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
367,l ɔ k ⁵⁵,92,l ɔ k ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
369,n o ʔ ²¹,92,n o ʔ ²¹,,expert,Hill2017,LingPy:SCA,,0:1
370,n a ʔ ³¹,92,n a ʔ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
373,n ɔː ʔ ³¹,92,n ɔː ʔ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
374,n ɔ ʔ ³¹,92,n ɔ ʔ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
375,n ɔ ʔ ⁵⁵,92,n ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
