ID,Language_ID,Form,Alignment,Comment,Alignments,Morphemes,Segments,Cognate_Set,Language,Source,Parameter_ID,Value,Concept,Cognate_Sets,Prosodic_Structure
6187,nucl1310,ŋɑ²²,ŋ ɑ ²²,,ŋ ɑ ²²,me,ŋ ɑ ²²,563,Rangoon,TBL,1209,ŋɑ²²,I [first person singular],91,i n t
6259,zaiw1240,ŋo⁵¹,ŋ o ⁵¹,,ŋ o ⁵¹,I-me,ŋ o ⁵¹,563,Atsi,TBL,1209,ŋo⁵¹,I [first person singular],91,i n t
6348,maru1248,ŋɔ³¹,ŋ ɔ ³¹,,ŋ ɔ ³¹,me,ŋ ɔ ³¹,563,Maru,TBL,1209,ŋɔ³¹,I [first person singular],91,i n t
6432,lash1242,ŋo³¹,ŋ o ³¹,,ŋ o ³¹,me,ŋ o ³¹,563,Lashi,TBL,1209,ŋo³¹,I [first person singular],91,i n t
6489,xian1248,ŋɔ⁵⁵,ŋ ɔ ⁵⁵,,ŋ ɔ ⁵⁵,I-me,ŋ ɔ ⁵⁵,563,Xiandao,TBL,1209,ŋɔ⁵⁵,I [first person singular],91,i n t
6549,bela1241,ŋa⁵⁵,ŋ a ⁵⁵,,ŋ a ⁵⁵,I-me,ŋ a ⁵⁵,563,Bola,TBL,1209,ŋa⁵⁵,I [first person singular],91,i n t
6631,long1372,ŋɔ⁵⁵,ŋ ɔ ⁵⁵,,ŋ ɔ ⁵⁵,I-me,ŋ ɔ ⁵⁵,563,Achang_Longchuan,TBL,1209,ŋɔ⁵⁵,I [first person singular],91,i n t
7149,oldb1234,ṅā,ŋ a ²²,,ŋ a ²²,,ŋ a ²²,563,Old_Burmese,,1209,ṅā,I [first person singular],91,i n t
6324,zaiw1240,tʰoʔ⁵⁵mai²¹,tʰ o ʔ ⁵⁵ + m a i ²¹,,tʰ o ʔ ⁵⁵ + m a i ²¹,over on,tʰ o ʔ ⁵⁵ + m a i ²¹,81,Atsi,TBL,1741,tʰoʔ⁵⁵mai²¹,above,3 4,i n c t + i n N t
6414,nucl1310,ɑ⁵³tʰɛʔ,ɑ ⁵³ - + tʰ ɛ ʔ -,,ɑ ⁵³ + tʰ ɛ ʔ -,a-prefix above,ɑ ⁵³ + tʰ ɛ ʔ,498,Rangoon,TBL,1741,ɑ⁵³tʰɛʔ,above,1292 3,n t + i n c
6450,bela1241,a³¹tʰaʔ⁵⁵,a ³¹ - + tʰ a ʔ ⁵⁵,,a ³¹ + tʰ a ʔ ⁵⁵,a-prefix over,a ³¹ + tʰ a ʔ ⁵⁵,498,Bola,TBL,1741,a³¹tʰaʔ⁵⁵,above,1292 3,n t + i n c t
6523,long1372,a³¹lum³¹,a ³¹ + l u m ³¹,,a ³¹ + l u m ³¹,a-prefix round,a ³¹ + l u m ³¹,163,Achang_Longchuan,TBL,1741,a³¹lum³¹,above,1292 2,n t + i n c t
6583,maru1248,tʰɔʔ⁵⁵mɛ³¹,tʰ ɔ ʔ ⁵⁵ + m ɛ - ³¹,,tʰ ɔ ʔ ⁵⁵ + m ɛ - ³¹,above on,tʰ ɔ ʔ ⁵⁵ + m ɛ ³¹,81,Maru,TBL,1741,tʰɔʔ⁵⁵mɛ³¹,above,3 4,i n c t + i n t
7095,oldb1234,a◦thak,- - a + tʰ a k -,,a + tʰ a k,a-prefix above,a + tʰ a k,498,Old_Burmese,,1741,a◦thak,above,1292 3,n + i n c
2,long1372,pʐa⁵⁵pʐa⁵⁵,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,bad concept,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,all all,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,33,Achang_Longchuan,TBL,98,pʐa⁵⁵pʐa⁵⁵,all,980 1362,i m n t + i m n t
9,lash1242,pan³¹ʃɔ̱ʔ⁵⁵,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,bad concept,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,all1 all2,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,567,Lashi,TBL,98,pan³¹ʃɔ̱ʔ⁵⁵,all,6 10,i n c t + i n c t
10,maru1248,pəŋ³¹ʃɔʔ⁵⁵,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,bad concept,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,? ?,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,567,Maru,TBL,98,pəŋ³¹ʃɔʔ⁵⁵,all,6 10,i n c t + i n c t
12,xian1248,chot⁵⁵,cʰ o t ⁵⁵,bad concept,cʰ o t ⁵⁵,all,cʰ o t ⁵⁵,394,Xiandao,TBL,98,chot⁵⁵,all,969,i n c t
13,zaiw1240,lu̱ŋ⁵⁵la̱ŋ⁵⁵,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,bad concept,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,all-1 all-2,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,302,Atsi,TBL,98,lu̱ŋ⁵⁵la̱ŋ⁵⁵,all,979 7,i n c t + i n c t
14,bela1241,a³¹la̱p⁵⁵,a ³¹ + l a̰ p ⁵⁵,bad concept,a ³¹ + l a̰ p ⁵⁵,a-prefix all,a ³¹ + l a̰ p ⁵⁵,363,Bola,TBL,98,a³¹la̱p⁵⁵,all,1 8,n t + i n c t
5656,nucl1310,m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,bad concept,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,all1 all2 all3,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,236,Rangoon,TBL,98,m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³,all,12 11 5,i n c t + i n t + i m n t
7097,oldb1234,a◦kun,a + k u n,,a + k u n,a-prefix all,a + k u n,274,Old_Burmese,,98,a◦kun,all,1 1363,n + i n c
129,long1372,tɕa⁵⁵,tɕ a ⁵⁵,,tɕ a ⁵⁵,bad,tɕ a ⁵⁵,256,Achang_Longchuan,TBL,1292,tɕa⁵⁵,bad,1013,i n t
131,zaiw1240,then²¹,tʰ e n ²¹,,tʰ e n ²¹,bad,tʰ e n ²¹,53,Atsi,TBL,1292,then²¹,bad,1012,i n c t
132,bela1241,a³¹kai⁵⁵,a ³¹ + k a i ⁵⁵,,a ³¹ + k a i ⁵⁵,not good,a ³¹ + k a i ⁵⁵,515,Bola,TBL,1292,a³¹kai⁵⁵,bad,1011 986,n t + i n N t
135,lash1242,pjɔːʔ³¹,p j ɔː ʔ ³¹,,p j ɔː ʔ ³¹,bad,p j ɔː ʔ ³¹,483,Lashi,TBL,1292,pjɔːʔ³¹,bad,1023,i m n c t
136,maru1248,kɔi³⁵,k ɔ i ³⁵,,k ɔ i ³⁵,bad,k ɔ i ³⁵,212,Maru,TBL,1292,kɔi³⁵,bad,986,i n N t
137,xian1248,n³¹cɛ⁵⁵,n ³¹ + c ɛ ⁵⁵,,n ³¹ + c ɛ ⁵⁵,not good,n ³¹ + c ɛ ⁵⁵,342,Xiandao,TBL,1292,n³¹cɛ⁵⁵,bad,55 1014,n t + i n t
5367,nucl1310,sho⁵⁵,sʰ o - ⁵⁵,,sʰ o - ⁵⁵,bad1,sʰ o ⁵⁵,702,Rangoon,TBL,1292,sho⁵⁵,bad,56,i n t
5368,nucl1310,ȵɑ̃⁵³,nʲ ɑ̃ ∼ ⁵³,,nʲ ɑ̃ ∼ ⁵³,bad2,nʲ ɑ̃ ∼ ⁵³,419,Rangoon,TBL,1292,ȵɑ̃⁵³,bad,987,i n c t
7099,oldb1234,chuivḥ,tsʰ ə w ⁵⁵,,tsʰ ə w ⁵⁵,bad,tsʰ ə w ⁵⁵,702,Old_Burmese,,1292,chuivḥ,bad,56,i n c t
6326,zaiw1240,o̱⁵¹mai²¹,o̰ ⁵¹ + m a i ²¹,,o̰ - - ⁵¹ + m a i ²¹,under on,o̰ ⁵¹ + m a i ²¹,554,Atsi,TBL,1485,o̱⁵¹mai²¹,"below, under",66 65,n t + i n N t
6451,bela1241,a³¹a⁵⁵,a ³¹ + a ⁵⁵,,a ³¹ + a ⁵⁵,a-prefix under,a ³¹ + a ⁵⁵,536,Bola,TBL,1485,a³¹a⁵⁵,"below, under",1293 1294,n t + n t
6524,long1372,a³¹tʰe⁵¹,a ³¹ + tʰ e ⁵¹,,a ³¹ + tʰ e ⁵¹,a-prefix below,a ³¹ + tʰ e ⁵¹,707,Achang_Longchuan,TBL,1485,a³¹tʰe⁵¹,"below, under",1293 1295,n t + i n t
6584,maru1248,ɔ³¹mɛ³¹,ɔ ³¹ + m ɛ - ³¹,,ɔ - - ³¹ + m ɛ - ³¹,below on,ɔ ³¹ + m ɛ ³¹,554,Maru,TBL,1485,ɔ³¹mɛ³¹,"below, under",66 65,n t + i n t
6618,nucl1310,ɑuʔ⁴,ɑ u ʔ ⁴,,ɑ u ʔ ⁴,under,ɑ u ʔ ⁴,194,Rangoon,TBL,1485,ɑuʔ⁴,"below, under",66,m n c t
7101,oldb1234,o₂k,- ʊ k -,,ʊ k,,ʊ k,194,Old_Burmese,,1485,o₂k,"below, under",66,n c
310,long1372,kʐə³¹,k ʐ ə ³¹,,k ʐ ə ³¹,big,k ʐ ə ³¹,637,Achang_Longchuan,TBL,1202,kʐə³¹,big,86,i m n t
312,zaiw1240,ko̱²¹,k - o̰ ²¹,,k - o̰ ²¹,big,k o̰ ²¹,637,Atsi,TBL,1202,ko̱²¹,big,86,i n t
313,bela1241,kɔ̱³⁵,k - ɔ̰ ³⁵,,k - ɔ̰ ³⁵,big,k ɔ̰ ³⁵,637,Bola,TBL,1202,kɔ̱³⁵,big,86,i n t
316,lash1242,kjiː³³,k j iː ³³,,k j iː ³³,big,k j iː ³³,637,Lashi,TBL,1202,kjiː³³,big,86,i m n t
317,maru1248,ɣə³⁵,ɣ - ə ³⁵,,ɣ - ə ³⁵,big,ɣ ə ³⁵,637,Maru,TBL,1202,ɣə³⁵,big,86,i n t
319,xian1248,kɯ³¹,k - ɯ ³¹,,k - ɯ ³¹,big,k ɯ ³¹,637,Xiandao,TBL,1202,kɯ³¹,big,86,i n t
5671,nucl1310,ʨi⁵⁵,tɕ - i ⁵⁵,,tɕ - i ⁵⁵,big,tɕ i ⁵⁵,637,Rangoon,TBL,1202,ʨi⁵⁵,big,86,i n t
7103,oldb1234,krīḥ,k r i ⁵⁵,,k r i ⁵⁵,,k r i ⁵⁵,637,Old_Burmese,,1202,krīḥ,big,86,i m n t
367,long1372,lɔk⁵⁵,l ɔ k ⁵⁵,,l ɔ k ⁵⁵,black,l ɔ k ⁵⁵,36,Achang_Longchuan,TBL,163,lɔk⁵⁵,black,92,i n c t
369,zaiw1240,noʔ²¹,n o ʔ ²¹,,n o ʔ ²¹,black,n o ʔ ²¹,36,Atsi,TBL,163,noʔ²¹,black,92,i n c t
370,bela1241,naʔ³¹,n a ʔ ³¹,,n a ʔ ³¹,black,n a ʔ ³¹,36,Bola,TBL,163,naʔ³¹,black,92,i n c t
373,lash1242,nɔːʔ³¹,n ɔː ʔ ³¹,,n ɔː ʔ ³¹,black,n ɔː ʔ ³¹,36,Lashi,TBL,163,nɔːʔ³¹,black,92,i n c t
374,maru1248,nɔʔ³¹,n ɔ ʔ ³¹,,n ɔ ʔ ³¹,black,n ɔ ʔ ³¹,36,Maru,TBL,163,nɔʔ³¹,black,92,i n c t
375,xian1248,nɔʔ⁵⁵,n ɔ ʔ ⁵⁵,,n ɔ ʔ ⁵⁵,black,n ɔ ʔ ⁵⁵,36,Xiandao,TBL,163,nɔʔ⁵⁵,black,92,i n c t
5528,nucl1310,nɛʔ⁴,n ɛ ʔ ⁴,,n ɛ ʔ ⁴,black,n ɛ ʔ ⁴,36,Rangoon,TBL,163,nɛʔ⁴,black,92,i n c t
7105,oldb1234,nak,n a k -,,n a k,black,n a k,36,Old_Burmese,,163,nak,black,92,i n c
672,long1372,kʐuat⁵⁵,k ʐ u a t ⁵⁵,bad concept,k ʐ u a t ⁵⁵,cold,k ʐ u a t ⁵⁵,655,Achang_Longchuan,TBL,1287,kʐuat⁵⁵,cold (of temperature),153,i m n N c t
674,zaiw1240,kjoʔ²¹,k j o - ʔ ²¹,bad concept,k j o - ʔ ²¹,cold,k j o ʔ ²¹,655,Atsi,TBL,1287,kjoʔ²¹,cold (of temperature),153,i m n c t
675,bela1241,kjaʔ³¹,k j a - ʔ ³¹,bad concept,k j a - ʔ ³¹,cold,k j a ʔ ³¹,655,Bola,TBL,1287,kjaʔ³¹,cold (of temperature),153,i m n c t
676,lash1242,ŋaːm⁵⁵,ŋ aː m ⁵⁵,bad concept,ŋ aː m ⁵⁵,cold,ŋ aː m ⁵⁵,200,Lashi,TBL,1287,ŋaːm⁵⁵,cold (of temperature),1031,i n c t
677,maru1248,kjɔʔ³¹,k j ɔ - ʔ ³¹,bad concept,k j ɔ - ʔ ³¹,cold,k j ɔ ʔ ³¹,655,Maru,TBL,1287,kjɔʔ³¹,cold (of temperature),153,i m n c t
678,xian1248,kʐot⁵⁵,k ʐ o - t ⁵⁵,bad concept,k ʐ o - t ⁵⁵,cold,k ʐ o t ⁵⁵,655,Xiandao,TBL,1287,kʐot⁵⁵,cold (of temperature),153,i m n c t
5630,nucl1310,ʨʰɑ̃⁵⁵,tɕʰ ɑ̃ ∼ ⁵⁵,bad concept,tɕʰ - ɑ̃ ∼ ⁵⁵,cold1,tɕʰ ɑ̃ ∼ ⁵⁵,562,Rangoon,TBL,1287,ʨʰɑ̃⁵⁵,cold (of temperature),154,i n c t
5650,nucl1310,e⁵⁵,e - ⁵⁵,bad concept,e ⁵⁵,cold2,e ⁵⁵,148,Rangoon,TBL,1287,e⁵⁵,cold (of temperature),152,n t
7107,oldb1234,iyḥ,i j ⁵⁵,,i j ⁵⁵,,i j ⁵⁵,148,Old_Burmese,,1287,iyḥ,cold (of temperature),152,n c t
5251,nucl1310,m̥ɑ̃²²,m̥ ɑ̃ ∼ ²²,,m̥ ɑ̃ ∼ ²²,correct,m̥ ɑ̃ ∼ ²²,215,Rangoon,TBL,1725,m̥ɑ̃²²,correct (right),604,i n c t
7109,oldb1234,mhan,m̥ a n -,,m̥ a n,,m̥ a n,215,Old_Burmese,,1725,mhan,correct (right),604,i n c
3334,long1372,tsɿ⁵⁵,ts ɿ ⁵⁵,,ts ɿ ⁵⁵,correct,ts ɿ ⁵⁵,368,Achang_Longchuan,TBL,1725,tsɿ⁵⁵,correct (right),605,i n t
3339,bela1241,tʃɔ³¹,tʃ ɔ ³¹,,tʃ ɔ ³¹,correct,tʃ ɔ ³¹,368,Bola,TBL,1725,tʃɔ³¹,correct (right),605,i n t
3342,lash1242,kɛː³¹,k ɛː ³¹,,k ɛː ³¹,correct,k ɛː ³¹,542,Lashi,TBL,1725,kɛː³¹,correct (right),1131,i n t
3343,maru1248,tʃɔ³¹,tʃ ɔ ³¹,,tʃ ɔ ³¹,correct,tʃ ɔ ³¹,368,Maru,TBL,1725,tʃɔ³¹,correct (right),605,i n t
3344,xian1248,cɛ⁵⁵,c ɛ ⁵⁵,,c ɛ ⁵⁵,good,c ɛ ⁵⁵,542,Xiandao,TBL,1725,cɛ⁵⁵,correct (right),1131,i n t
3337,zaiw1240,tʃo²¹,tʃ o ²¹,,tʃ o ²¹,correct,tʃ o ²¹,368,Atsi,TBL,1725,tʃo²¹,correct (right),605,i n t
6142,long1372,ɕin⁵⁵,ɕ i n ⁵⁵,,ɕ i n ⁵⁵,dark,ɕ i n ⁵⁵,142,Achang_Longchuan,TBL,706,ɕin⁵⁵,dark,1251,i n c t
6201,maru1248,nɔʔ³¹,n ɔ ʔ ³¹,,n ɔ ʔ ³¹,black,n ɔ ʔ ³¹,36,Maru,TBL,706,nɔʔ³¹,dark,92,i n c t
6237,nucl1310,m̥ɑ̃u²²,m̥ ɑ̃ u ∼ ²²,,m̥ ɑ̃ u ∼ ²²,dark,m̥ ɑ̃ u ∼ ²²,225,Rangoon,TBL,706,m̥ɑ̃u²²,dark,34,i n N c t
6304,zaiw1240,noʔ²¹,n o ʔ ²¹,,n o ʔ ²¹,black,n o ʔ ²¹,36,Atsi,TBL,706,noʔ²¹,dark,92,i n c t
6430,bela1241,naʔ³¹,n a ʔ ³¹,,n a ʔ ³¹,black,n a ʔ ³¹,36,Bola,TBL,706,naʔ³¹,dark,92,i n c t
6593,xian1248,kɯn⁵⁵,k ɯ n ⁵⁵,,k ɯ n ⁵⁵,dark,k ɯ n ⁵⁵,345,Xiandao,TBL,706,kɯn⁵⁵,dark,1252,i n c t
7111,oldb1234,mho₂ṅ,m̥ ʊ - ŋ -,,m̥ ʊ ŋ,,m̥ ʊ ŋ,225,Old_Burmese,,706,mho₂ṅ,dark,34,i n c
5459,nucl1310,ȵiʔ⁴pɑʔ⁴,nʲ i ʔ ⁴ - - - + p ɑ ʔ ⁴,,nʲ i ʔ ⁴ + p ɑ ʔ ⁴,dirty1 dirty2,nʲ i ʔ ⁴ + p ɑ ʔ ⁴,716,Rangoon,TBL,1230,ȵiʔ⁴pɑʔ⁴,dirty,209 210,i n c t + i n c t
936,long1372,ək³⁵,ə k ³⁵,,ə k ³⁵,dirty,ə k ³⁵,159,Achang_Longchuan,TBL,1230,ək³⁵,dirty,211,n c t
938,zaiw1240,tʃhaʔ⁵⁵,tʃʰ a ʔ ⁵⁵,,tʃʰ a ʔ ⁵⁵,dirty,tʃʰ a ʔ ⁵⁵,29,Atsi,TBL,1230,tʃhaʔ⁵⁵,dirty,1032,i n c t
940,bela1241,lu̱³⁵,l ṵ - ³⁵,,l ṵ - ³⁵,dirty,l ṵ ³⁵,618,Bola,TBL,1230,lu̱³⁵,dirty,18,i n t
942,lash1242,a³¹san⁵⁵,a ³¹ + s a n ⁵⁵,,a ³¹ + s a n ⁵⁵,a-prefix dirty,a ³¹ + s a n ⁵⁵,346,Lashi,TBL,1230,a³¹san⁵⁵,dirty,1033 1034,n t + i n c t
943,maru1248,la̱u³⁵,l a̰ u ³⁵,,l a̰ u ³⁵,dirty,l a̰ u ³⁵,618,Maru,TBL,1230,la̱u³⁵,dirty,18,i n N t
944,xian1248,ɤk³⁵,ɤ k ³⁵,,ɤ k ³⁵,dirty,ɤ k ³⁵,159,Xiandao,TBL,1230,ɤk³⁵,dirty,211,n c t
7113,oldb1234,ñac◦pat,- - - - nʲ a ts + p a t -,,nʲ a ts + p a t,,nʲ a ts + p a t,716,Old_Burmese,,1230,ñac◦pat,dirty,209 210,i n c + i n c
1039,zaiw1240,xui⁵⁵,x u i ⁵⁵,,x u i ⁵⁵,dry,x u i ⁵⁵,632,Atsi,TBL,1398,xui⁵⁵,dry,233,i n N t
1037,long1372,səʔ⁵⁵,s ə ʔ ⁵⁵,,s ə ʔ ⁵⁵,dry,s ə ʔ ⁵⁵,120,Achang_Longchuan,TBL,1398,səʔ⁵⁵,dry,1036,i n c t
1043,lash1242,kju̱ːʔ⁵⁵,k j ṵː - ʔ ⁵⁵,,k j ṵː - ʔ ⁵⁵,dry,k j ṵː ʔ ⁵⁵,424,Lashi,TBL,1398,kju̱ːʔ⁵⁵,dry,232,i m n c t
1044,maru1248,fai⁵⁵,f a i ⁵⁵,,f a i ⁵⁵,dry,f a i ⁵⁵,632,Maru,TBL,1398,fai⁵⁵,dry,233,i n N t
1046,xian1248,tsui³⁵,ts u i ³⁵,,ts u i ³⁵,dry,ts u i ³⁵,320,Xiandao,TBL,1398,tsui³⁵,dry,1037,i n N t
5416,nucl1310,ʨʰɑuʔ⁴,tɕʰ - ɑ u ʔ ⁴,,tɕʰ - ɑ u ʔ ⁴,dry,tɕʰ ɑ u ʔ ⁴,424,Rangoon,TBL,1398,ʨʰɑuʔ⁴,dry,232,i n N c t
1040,bela1241,kja̱uʔ⁵⁵,k j a̰ u ʔ ⁵⁵,,k j a̰ u ʔ ⁵⁵,dry,k j a̰ u ʔ ⁵⁵,424,Bola,TBL,1398,kja̱uʔ⁵⁵,dry,232,i m n N c t
7115,oldb1234,khro₂k,kʰ r ʊ - k -,,kʰ r ʊ k,dry,kʰ r ʊ k,424,Old_Burmese,,1398,khro₂k,dry,232,i m n c
6144,long1372,nɔʔ⁵⁵,n ɔ ʔ ⁵⁵,,n ɔ ʔ ⁵⁵,early,n ɔ ʔ ⁵⁵,433,Achang_Longchuan,TBL,672,nɔʔ⁵⁵,early,35,i n c t
6202,maru1248,nɔʔ⁵⁵,n ɔ ʔ ⁵⁵,,n ɔ ʔ ⁵⁵,early,n ɔ ʔ ⁵⁵,433,Maru,TBL,672,nɔʔ⁵⁵,early,35,i n c t
6239,nucl1310,sɔ⁵⁵,s ɔ ⁵⁵,,s ɔ ⁵⁵,early,s ɔ ⁵⁵,643,Rangoon,TBL,672,sɔ⁵⁵,early,36,i n t
6307,zaiw1240,noʔ²¹,n o ʔ ²¹,,n o ʔ ²¹,early,n o ʔ ²¹,433,Atsi,TBL,672,noʔ²¹,early,35,i n c t
6474,lash1242,nɔːʔ⁵⁵,n ɔː ʔ ⁵⁵,,n ɔː ʔ ⁵⁵,early,n ɔː ʔ ⁵⁵,433,Lashi,TBL,672,nɔːʔ⁵⁵,early,35,i n c t
6536,xian1248,nɔʔ⁵⁵,n ɔ ʔ ⁵⁵,,n ɔ ʔ ⁵⁵,early,n ɔ ʔ ⁵⁵,433,Xiandao,TBL,672,nɔʔ⁵⁵,early,35,i n c t
6604,bela1241,naʔ⁵⁵,n a ʔ ⁵⁵,,n a ʔ ⁵⁵,early,n a ʔ ⁵⁵,433,Bola,TBL,672,naʔ⁵⁵,early,35,i n c t
1152,zaiw1240,ʃit⁵⁵,- ʃ i t ⁵⁵,,ʃ i t ⁵⁵,eight,ʃ i t ⁵⁵,216,Atsi,TBL,1705,ʃit⁵⁵,eight,247,i n c t
1153,bela1241,ʃɛʔ⁵⁵,- ʃ ɛ ʔ ⁵⁵,,ʃ ɛ ʔ ⁵⁵,eight,ʃ ɛ ʔ ⁵⁵,216,Bola,TBL,1705,ʃɛʔ⁵⁵,eight,247,i n c t
1156,lash1242,ʃɛ̱t⁵⁵,- ʃ ɛ̰ t ⁵⁵,,ʃ ɛ̰ t ⁵⁵,eight,ʃ ɛ̰ t ⁵⁵,216,Lashi,TBL,1705,ʃɛ̱t⁵⁵,eight,247,i n c t
1157,maru1248,ʃɛʔ⁵⁵,- ʃ ɛ ʔ ⁵⁵,,ʃ ɛ ʔ ⁵⁵,eight,ʃ ɛ ʔ ⁵⁵,216,Maru,TBL,1705,ʃɛʔ⁵⁵,eight,247,i n c t
1158,xian1248,çɛʈ⁵⁵,- ç ɛ ʈ ⁵⁵,,ç ɛ ʈ ⁵⁵,eight,ç ɛ ʈ ⁵⁵,216,Xiandao,TBL,1705,çɛʈ⁵⁵,eight,247,i n c t
5575,nucl1310,ɕiʔ⁴,- ɕ i ʔ ⁴,,ɕ i ʔ ⁴,eight,ɕ i ʔ ⁴,216,Rangoon,TBL,1705,ɕiʔ⁴,eight,247,i n c t
1150,long1372,ɕet⁵⁵,- ɕ e t ⁵⁵,,ɕ e t ⁵⁵,eight,ɕ e t ⁵⁵,216,Achang_Longchuan,TBL,1705,ɕet⁵⁵,eight,247,i n c t
7117,oldb1234,rhyat,r̥ j a t -,,r̥ j a t,,r̥ j a t,216,Old_Burmese,,1705,rhyat,eight,247,i m n c
1241,long1372,ve³¹,v e - ³¹,,v e - ³¹,far,v e ³¹,347,Achang_Longchuan,TBL,1406,ve³¹,far,266,i n t
5272,nucl1310,we⁵⁵,w e - ⁵⁵,,w e - ⁵⁵,far,w e ⁵⁵,347,Rangoon,TBL,1406,we⁵⁵,far,266,i n t
1244,bela1241,vɛ³¹,v ɛ - ³¹,,v ɛ - ³¹,far,v ɛ ³¹,347,Bola,TBL,1406,vɛ³¹,far,266,i n t
1247,lash1242,vɛː³³,v ɛː - ³³,,v ɛː - ³³,far,v ɛː ³³,347,Lashi,TBL,1406,vɛː³³,far,266,i n t
1248,maru1248,va³⁵,v a - ³⁵,,v a - ³⁵,far,v a ³⁵,347,Maru,TBL,1406,va³⁵,far,266,i n t
1249,xian1248,vɛ³¹,v ɛ - ³¹,,v ɛ - ³¹,far,v ɛ ³¹,347,Xiandao,TBL,1406,vɛ³¹,far,266,i n t
7119,oldb1234,viyḥ,w i j ⁵⁵,,w i j ⁵⁵,,w i j ⁵⁵,347,Old_Burmese,,1406,viyḥ,far,266,i n c t
1243,zaiw1240,ve²¹,v e - ²¹,,v e - ²¹,far,v e ²¹,347,Atsi,TBL,1406,ve²¹,far,266,i n t
7121,oldb1234,thaṅḥ,tʰ a - ŋ ⁵⁵,,tʰ a ŋ ⁵⁵,,tʰ a ŋ ⁵⁵,132,Old_Burmese,,10,thaṅḥ,firewood,80,i n c t
6182,maru1248,tʰɔ̃³⁵,tʰ ɔ̃ - ∼ ³⁵,,tʰ ɔ̃ - ∼ ³⁵,firewood,tʰ ɔ̃ ∼ ³⁵,132,Maru,TBL,10,tʰɔ̃³⁵,firewood,80,i n c t
6223,lash1242,tʰaŋ⁵⁵,tʰ a - ŋ ⁵⁵,,tʰ a - ŋ ⁵⁵,firewood,tʰ a ŋ ⁵⁵,132,Lashi,TBL,10,tʰaŋ⁵⁵,firewood,80,i n c t
6281,xian1248,tʰɔŋ³¹,tʰ ɔ - ŋ ³¹,,tʰ ɔ ŋ ³¹,firewood,tʰ ɔ ŋ ³¹,132,Xiandao,TBL,10,tʰɔŋ³¹,firewood,80,i n c t
6346,bela1241,tʰɔ̃³⁵,tʰ ɔ̃ - ∼ ³⁵,,tʰ ɔ̃ - ∼ ³⁵,firewood,tʰ ɔ̃ ∼ ³⁵,132,Bola,TBL,10,tʰɔ̃³⁵,firewood,80,i n c t
6428,long1372,tʰuaŋ³¹,tʰ u a ŋ ³¹,,tʰ u a ŋ ³¹,firewood,tʰ u a ŋ ³¹,132,Achang_Longchuan,TBL,10,tʰuaŋ³¹,firewood,80,i m n c t
6501,nucl1310,tʰĩ⁵⁵,tʰ ĩ - ∼ ⁵⁵,,tʰ ĩ - - ⁵⁵,firewood,tʰ ĩ ∼ ⁵⁵,132,Rangoon,TBL,10,tʰĩ⁵⁵,firewood,80,i n c t
6576,zaiw1240,tʰaŋ²¹,tʰ a - ŋ ²¹,,tʰ a - ŋ ²¹,firewood,tʰ a ŋ ²¹,132,Atsi,TBL,10,tʰaŋ²¹,firewood,80,i n c t
1421,long1372,ŋɔ³¹,ŋ ɔ ³¹,,ŋ ɔ ³¹,five,ŋ ɔ ³¹,504,Achang_Longchuan,TBL,493,ŋɔ³¹,five,290,i n t
1424,bela1241,ŋa³¹,ŋ a ³¹,,ŋ a ³¹,five,ŋ a ³¹,504,Bola,TBL,493,ŋa³¹,five,290,i n t
1428,maru1248,ŋɔ⁵⁵,ŋ ɔ ⁵⁵,,ŋ ɔ ⁵⁵,five,ŋ ɔ ⁵⁵,504,Maru,TBL,493,ŋɔ⁵⁵,five,290,i n t
1423,zaiw1240,ŋo²¹,ŋ o ²¹,,ŋ o ²¹,five,ŋ o ²¹,504,Atsi,TBL,493,ŋo²¹,five,290,i n t
1427,lash1242,ŋ³³,ŋ - ³³,,ŋ - ³³,five,ŋ ³³,504,Lashi,TBL,493,ŋ³³,five,290,n t
5524,nucl1310,ŋɑ⁵⁵,ŋ ɑ ⁵⁵,,ŋ ɑ ⁵⁵,five,ŋ ɑ ⁵⁵,504,Rangoon,TBL,493,ŋɑ⁵⁵,five,290,i n t
