ID,Language_ID,Language_name,Parameter_ID,Value,Source,Comment
1A-qco,sout2991,Quechua (Cochabamba),1A,Moderately large,Lastra-1968,
1A-qui,quil1240,Quileute,1A,Moderately large,Powell-1975;Hoard-1993,
1A-ram,rama1270,Rama,1A,Moderately small,Grinevald-1988,
1A-rap,rapa1244,Rapanui,1A,Small,Du-Feu-1996,
1A-res,resi1247,Resígaro,1A,Moderately large,Allin-1976,
1A-rom,roma1327,Romanian,1A,Average,Ruhlen-1973;Agard-1958;Tataru-1978,
1A-rsc,roma1326,Romansch (Scharans),1A,Average,Soler-and-Ebneter-1988,
1A-ror,waim1251,Roro,1A,Small,Davis-1974;Bluhme-1970,
1A-rtk,roto1249,Rotokas,1A,Small,Firchow-and-Firchow-1969;Firchow-et-al-1973,
1A-ruk,ruka1240,Rukai (Tanan),1A,Average,Li-1977b;Li-1973,
1A-rus,russ1263,Russian,1A,Moderately large,Jones-and-Ward-1969;Halle-1959,
1A-rut,rutu1240,Rutul,1A,Large,Ibragimov-1978;Dzhejranishvili-1967;Kodzasov-1990b,
1A-scs,sout2674,Saami (Central-South),1A,Large,Kert-1971;Hasselbrink-1965,
1A-sab,saba1265,Sa'ban,1A,Average,Clayre-1973,
1A-sba,sali1298,Sáliba (in Colombia),1A,Average,Benaissa-1979,
1A-sdw,sand1273,Sandawe,1A,Large,Tucker-et-al-1977;Kagaya-1993;Elderkin-1982;Dempwolff-1916;Maddieson-et-al-1999,
1A-san,sang1328,Sango,1A,Moderately large,Samarin-1967a;Samarin-1967b,
1A-snm,sanu1240,Sanuma,1A,Small,Borgman-1990;Aikhenvald-and-Dixon-1999,
1A-svs,savo1255,Savosavo,1A,Moderately small,Todd-1975,
1A-seb,kups1238,Sebei,1A,Small,Montgomery-1970,
1A-sed,seda1262,Sedang,1A,Large,Smith-1979;Smith-1968,
1A-slp,sele1250,Selepet,1A,Moderately small,McElhanon-1970b;McElhanon-1970c,
1A-sel,onaa1245,Selknam,1A,Average,Najlis-1973,
1A-skp,selk1253,Selkup,1A,Moderately small,Katz-1975b;Prokofjeva-1966,
1A-sml,seme1247,Semelai,1A,Moderately large,Kruspe-1999,
