ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
6624,6624,6,,,
6915,6915,6,,,
7180,7180,6,,,
7436,7436,6,,,
10,10,7,,,
253,253,7,,,
727,727,7,,,
1171,1171,7,,,
1403,1403,7,,,
1597,1597,7,,,
1855,1855,7,,,
2116,2116,7,,,
2338,2338,7,,,
2552,2552,7,,,
2825,2825,7,,,
3078,3078,7,,,
3299,3299,7,,,
3593,3593,7,,,
3899,3899,7,,,
4203,4203,7,,,
4397,4397,7,,,
4594,4594,604,,,
4857,4857,7,,,
5103,5103,7,,,
5616,5616,7,,,
5852,5852,7,,,
6154,6154,7,,,
6364,6364,7,,,
6625,6625,7,,,
6916,6916,7,,,
7437,7437,7,,,
5,5,946,,,
6,6,114,,,
249,249,946,,,
722,722,691,,,
723,723,946,,,
947,947,946,,,
1167,1167,946,,,
1399,1399,946,,,
1592,1592,691,,,
1593,1593,946,,,
1851,1851,946,,,
2112,2112,946,,,
2334,2334,946,,,
2821,2821,946,,,
3074,3074,690,,,
3294,3294,946,,,
3295,3295,946,,,
3589,3589,946,,,
3895,3895,946,,,
4199,4199,946,,,
4393,4393,946,,,
4590,4590,946,,,
4853,4853,946,,,
5099,5099,946,,,
5357,5357,946,,,
5611,5611,1461,,,
5612,5612,946,,,
5848,5848,946,,,
6150,6150,946,,,
6360,6360,946,,,
6621,6621,946,,,
6912,6912,946,,,
7177,7177,946,,,
7433,7433,946,,,
13,13,8,,,
256,256,8,,,
730,730,8,,,
953,953,8,,,
1175,1175,8,,,
1406,1406,8,,,
1600,1600,8,,,
1858,1858,8,,,
2119,2119,8,,,
2341,2341,8,,,
2556,2556,8,,,
2828,2828,8,,,
3081,3081,8,,,
3302,3302,8,,,
3596,3596,8,,,
3902,3902,8,,,
4206,4206,8,,,
4400,4400,8,,,
4597,4597,8,,,
4860,4860,8,,,
5106,5106,8,,,
5363,5363,8,,,
5619,5619,8,,,
5855,5855,8,,,
6157,6157,8,,,
6367,6367,8,,,
6628,6628,8,,,
6919,6919,8,,,
7183,7183,8,,,
7440,7440,8,,,
4,4,947,,,
721,721,666,,,
1165,1165,646,,,
1166,1166,805,,,
1850,1850,805,,,
2333,2333,805,,,
3293,3293,805,,,
3588,3588,947,,,
3892,3892,947,,,
3893,3893,666,,,
3894,3894,666,,,
4392,4392,646,,,
4852,4852,805,,,
5098,5098,646,,,
5610,5610,947,,,
5847,5847,666,,,
6359,6359,666,,,
6620,6620,666,,,
7174,7174,805,,,
14,14,9,,,
257,257,9,,,
731,731,9,,,
954,954,9,,,
1176,1176,806,,,
1407,1407,9,,,
1601,1601,9,,,
1859,1859,9,,,
2120,2120,9,,,
2342,2342,9,,,
2557,2557,9,,,
2829,2829,9,,,
3082,3082,9,,,
3303,3303,9,,,
3597,3597,9,,,
3903,3903,9,,,
4207,4207,9,,,
4401,4401,806,,,
4598,4598,9,,,
4861,4861,9,,,
5107,5107,9,,,
5108,5108,806,,,
5364,5364,9,,,
5620,5620,9,,,
5856,5856,9,,,
6158,6158,9,,,
6368,6368,9,,,
6629,6629,9,,,
6920,6920,9,,,
7184,7184,9,,,
7441,7441,9,,,
47,47,1382,,,
284,284,1382,,,
761,761,1382,,,
979,979,1446,,,
1206,1206,1382,,,
1630,1630,1382,,,
1883,1883,1382,,,
2146,2146,1382,,,
2367,2367,1382,,,
2588,2588,1382,,,
2858,2858,1382,,,
3332,3332,1382,,,
3631,3631,1382,,,
3946,3946,1382,,,
4424,4424,1382,,,
4617,4617,1382,,,
4886,4886,1382,,,
5139,5139,1382,,,
5391,5391,1382,,,
5650,5650,1382,,,
5886,5886,1382,,,
6175,6175,1382,,,
6397,6397,1382,,,
6662,6662,1382,,,
6949,6949,1382,,,
7213,7213,1382,,,
7468,7468,1382,,,
24,24,293,,,
263,263,293,,,
264,264,336,,,
739,739,293,,,
961,961,293,,,
1184,1184,293,,,
1415,1415,361,,,
1612,1612,410,,,
1865,1865,469,,,
2127,2127,293,,,
2350,2350,293,,,
2565,2565,293,,,
2566,2566,1075,,,
2838,2838,293,,,
3090,3090,293,,,
3311,3311,715,,,
3608,3608,293,,,
3609,3609,336,,,
3916,3916,1075,,,
3917,3917,293,,,
3918,3918,788,,,
4214,4214,1115,,,
4407,4407,293,,,
4601,4601,293,,,
4868,4868,293,,,
5116,5116,293,,,
5371,5371,1115,,,
5627,5627,1075,,,
5865,5865,293,,,
6164,6164,293,,,
6377,6377,293,,,
6638,6638,293,,,
6928,6928,293,,,
6929,6929,336,,,
7195,7195,293,,,
7450,7450,293,,,
20,20,538,,,
21,21,520,,,
22,22,1447,,,
23,23,1383,,,
262,262,1383,,,
737,737,1276,,,
738,738,520,,,
960,960,520,,,
1183,1183,1313,,,
1413,1413,520,,,
1414,1414,520,,,
1608,1608,409,,,
1609,1609,603,,,
1610,1610,520,,,
1611,1611,1313,,,
1864,1864,1313,,,
2126,2126,520,,,
2348,2348,603,,,
2349,2349,1383,,,
2564,2564,1313,,,
2836,2836,1383,,,
2837,2837,520,,,
3089,3089,520,,,
3310,3310,520,,,
3607,3607,1383,,,
3915,3915,520,,,
4213,4213,1383,,,
4406,4406,1313,,,
4866,4866,1383,,,
4867,4867,520,,,
5115,5115,1313,,,
5370,5370,520,,,
5626,5626,520,,,
5864,5864,520,,,
6163,6163,520,,,
6374,6374,1447,,,
6375,6375,1383,,,
6376,6376,520,,,
6637,6637,520,,,
6927,6927,520,,,
7448,7448,1383,,,
7449,7449,520,,,
79,79,1183,,,
320,320,1183,,,
793,793,1183,,,
1007,1007,1183,,,
1238,1238,1183,,,
1456,1456,1183,,,
1670,1670,1183,,,
1921,1921,10,,,
1922,1922,1183,,,
2176,2176,1183,,,
2397,2397,1183,,,
2625,2625,1183,,,
2895,2895,1183,,,
3137,3137,1183,,,
3382,3382,1183,,,
3669,3669,1183,,,
3670,3670,10,,,
3991,3991,802,,,
3992,3992,1183,,,
4256,4256,1183,,,
4453,4453,1183,,,
4652,4652,1183,,,
4915,4915,1183,,,
5174,5174,1183,,,
5431,5431,1183,,,
5432,5432,877,,,
5682,5682,1183,,,
5932,5932,1183,,,
6207,6207,1183,,,
6431,6431,1183,,,
6715,6715,1183,,,
6988,6988,1183,,,
7252,7252,1183,,,
7499,7499,1183,,,
49,49,11,,,
286,286,948,,,
287,287,11,,,
763,763,948,,,
764,764,11,,,
981,981,11,,,
1208,1208,11,,,
1633,1633,11,,,
1885,1885,11,,,
2148,2148,11,,,
2369,2369,563,,,
2590,2590,11,,,
2861,2861,11,,,
3110,3110,11,,,
3335,3335,11,,,
3633,3633,563,,,
3634,3634,11,,,
3635,3635,948,,,
3948,3948,11,,,
4426,4426,11,,,
4619,4619,948,,,
4620,4620,11,,,
4888,4888,11,,,
5141,5141,11,,,
5394,5394,11,,,
5653,5653,11,,,
5654,5654,1039,,,
5888,5888,948,,,
5889,5889,11,,,
6176,6176,11,,,
6399,6399,11,,,
6665,6665,11,,,
6951,6951,11,,,
7215,7215,11,,,
7470,7470,11,,,
232,232,188,,,
496,496,188,,,
931,931,188,,,
1145,1145,188,,,
1382,1382,188,,,
1576,1576,188,,,
1829,1829,188,,,
2095,2095,188,,,
2315,2315,188,,,
2537,2537,188,,,
2794,2794,188,,,
2795,2795,667,,,
3058,3058,188,,,
3277,3277,188,,,
3569,3569,188,,,
3871,3871,188,,,
4178,4178,667,,,
4179,4179,188,,,
4375,4375,1123,,,
4576,4576,188,,,
4835,4835,188,,,
5080,5080,188,,,
5340,5340,188,,,
5594,5594,188,,,
5828,5828,188,,,
6131,6131,163,,,
6342,6342,1131,,,
6601,6601,188,,,
6894,6894,188,,,
7158,7158,188,,,
7409,7409,188,,,
7641,7641,667,,,
58,58,1061,,,
297,297,115,,,
773,773,1384,,,
989,989,1443,,,
1217,1217,1384,,,
1440,1440,12,,,
1642,1642,1384,,,
1896,1896,1384,,,
2156,2156,12,,,
2377,2377,115,,,
2601,2601,1384,,,
2869,2869,652,,,
3117,3117,1384,,,
3347,3347,703,,,
3348,3348,1384,,,
3643,3643,1384,,,
3960,3960,1384,,,
4240,4240,12,,,
4434,4434,1384,,,
4628,4628,1384,,,
5152,5152,981,,,
